game,turn,on_turn_player,nested_pick,flat_pick,flat_wpct,flat_wpct_for_nested_pick,cgp
8,6,0,14K HAGG,14K HAGG,0.500015,0.500015,15/15/15/11M3/11O3/11N3/11k3/5PROD2E3/6E4Y3/6J4E3/4ADONIsED3/6N8/2ELATERIN5/6O8/4SYSSITIA3 AEGGHIS/EEFIIQT 186/213 0
8,7,1,6J QI(N),6J QI(N),0.570406,0.570406,15/15/15/11M3/11O3/11N3/11k3/5PROD2E3/6E4Y3/6J4E3/4ADONIsED3/6N8/2ELATERIN5/6O3HAGG1/4SYSSITIA3 EEFIIQT/EIKORSU 213/211 0
8,8,0,C7 EUROKI(E)S,C7 EUROKI(E)S,0.549347,0.549347,15/15/15/11M3/11O3/9QIN3/11k3/5PROD2E3/6E4Y3/6J4E3/4ADONIsED3/6N8/2ELATERIN5/6O3HAGG1/4SYSSITIA3 EIKORSU/AEEFITW 211/245 0
9,0,0,8D PLATT,8D PLATT,0.464929,0.464929,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 ADLPTTV/AHINRRX 0/0 0
9,1,1,9F XI,E8 (L)ANX,0.407039,0.388757,15/15/15/15/15/15/15/3PLATT7/15/15/15/15/15/15/15 AHINRRX/AADOSVZ 0/20 0
9,2,0,7C ZOA,7C ZOA,0.547019,0.547019,15/15/15/15/15/15/15/3PLATT7/5XI8/15/15/15/15/15/15 AADOSVZ/AEHNNRR 20/22 0
9,3,1,6D HARN,6D HARN,0.417964,0.417964,15/15/15/15/15/15/2ZOA10/3PLATT7/5XI8/15/15/15/15/15/15 AEHNNRR/ADDEOSV 22/48 0
9,4,0,10C DOVED,10C DOVED,0.625946,0.625946,15/15/15/15/15/3HARN8/2ZOA10/3PLATT7/5XI8/15/15/15/15/15/15 ADDEOSV/DEINORS 48/42 0
9,5,1,11G SORDINE,11G SORDINE,0.570320,0.570320,15/15/15/15/15/3HARN8/2ZOA10/3PLATT7/5XI8/2DOVED8/15/15/15/15/15 DEINORS/ACIOQSU 42/76 0
9,6,0,L6 COQUI(N)AS,L6 COQUI(N)AS,0.727057,0.727057,15/15/15/15/15/3HARN8/2ZOA10/3PLATT7/5XI8/2DOVED8/6SORDINE2/15/15/15/15 ACIOQSU/EEEIMR? 76/113 0
9,7,1,13F EMpERI(S)E,13F EMpERI(S)E,0.412537,0.412537,15/15/15/15/15/3HARN4C3/2ZOA6O3/3PLATT3Q3/5XI4U3/2DOVED4I3/6SORDINE2/11A3/11S3/15/15 EEEIMR?/ACDGLOS 113/184 0
9,8,0,14B ACOLD,14B ACOLD,0.577098,0.577098,15/15/15/15/15/3HARN4C3/2ZOA6O3/3PLATT3Q3/5XI4U3/2DOVED4I3/6SORDINE2/11A3/5EMpERISE2/15/15 ACDGLOS/EEIIORU 184/189 0
9,9,1,D12 EU(O)I,D12 EU(O)I,0.302257,0.302257,15/15/15/15/15/3HARN4C3/2ZOA6O3/3PLATT3Q3/5XI4U3/2DOVED4I3/6SORDINE2/11A3/5EMpERISE2/1ACOLD9/15 EEIIORU/GMNNSUY 189/215 0
9,10,0,C12 MY(C),C12 MY(C),0.683199,0.683199,15/15/15/15/15/3HARN4C3/2ZOA6O3/3PLATT3Q3/5XI4U3/2DOVED4I3/6SORDINE2/3E7A3/3U1EMpERISE2/1ACOLD9/3I11 GMNNSUY/BEEIORT 215/199 0
9,11,1,5E BOET,5E BOET,0.303873,0.303873,15/15/15/15/15/3HARN4C3/2ZOA6O3/3PLATT3Q3/5XI4U3/2DOVED4I3/6SORDINE2/2ME7A3/2YU1EMpERISE2/1ACOLD9/3I11 BEEIORT/EEGNNSU 199/249 0
10,0,0,8C OVArIAL,8C OVArIAL,0.718422,0.718422,15/15/15/15/15/15/15/15/15/15/15/15/15/15/15 AAILOV?/ACDDEI? 0/0 0
10,1,1,E4 DAED(A)lIC,E4 DAED(A)lIC,0.477620,0.477620,15/15/15/15/15/15/15/2OVArIAL6/15/15/15/15/15/15/15 ACDDEI?/EGLNRXY 0/76 0
10,2,0,C7 L(O)XYGEN,C7 L(O)XYGEN,0.570169,0.570169,15/15/15/4D10/4A10/4E10/4D10/2OVArIAL6/4l10/4I10/4C10/15/15/15/15 EGLNRXY/AENNOQT 76/94 0
10,3,1,G7 Q(I),G7 Q(I),0.404655,0.404655,15/15/15/4D10/4A10/4E10/2L1D10/2OVArIAL6/2X1l10/2Y1I10/2G1C10/2E12/2N12/15/15 AENNOQT/EGIMRSU 94/130 0
10,4,0,4B SMU(D)GIER,4B SMU(D)GIER,0.801128,0.801128,15/15/15/4D10/4A10/4E10/2L1D1Q8/2OVArIAL6/2X1l10/2Y1I10/2G1C10/2E12/2N12/15/15 EGIMRSU/AEENNOT 130/115 0
10,5,1,9G NEONATE,9G NEONATE,0.324007,0.324007,15/15/15/1SMUDGIER6/4A10/4E10/2L1D1Q8/2OVArIAL6/2X1l10/2Y1I10/2G1C10/2E12/2N12/15/15 AEENNOT/AEFOORS 115/206 0
10,6,0,B9 OF,B9 OF,0.729096,0.729096,15/15/15/1SMUDGIER6/4A10/4E10/2L1D1Q8/2OVArIAL6/2X1l1NEONATE2/2Y1I10/2G1C10/2E12/2N12/15/15 AEFOORS/AHIIKVY 206/193 0
10,7,1,D12 HAIK,D12 HAIK,0.286340,0.286340,15/15/15/1SMUDGIER6/4A10/4E10/2L1D1Q8/2OVArIAL6/1OX1l1NEONATE2/1FY1I10/2G1C10/2E12/2N12/15/15 AHIIKVY/AEIORSZ 193/244 0
10,8,0,B2 AS(S)IZE,B2 AS(S)IZE,0.780569,0.780569,15/15/15/1SMUDGIER6/4A10/4E10/2L1D1Q8/2OVArIAL6/1OX1l1NEONATE2/1FY1I10/2G1C10/2EH11/2NA11/3I11/3K11 AEIORSZ/BDEITVY 244/237 0
